,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
594,Rachael Ray Nutrish,Rachael Ray Nutrish Zero Grain Turkey and Potato Dog Food,Nutrish Zero Grain Turkey,"Zero-grain recipes with natural ingredients, suitable for dogs with sensitivities.",Dog Food,Walmart,,,6.0,,,,,,,,,,,,,
595,Purina Beyond,Purina Beyond Simply 9 Adult Dog Food,Purina Beyond Simply 9,"Made with simple, natural ingredients, focusing on fewer components for digestive ease.",Dog Food,Walmart,,,7.0,,,,,,,,,,,,,
596,Ol' Roy,Ol' Roy Complete Nutrition Dog Food,Ol' Roy Complete Nutrition,"Budget-friendly dog food option, though less recommended than Pure Balance.",Dog Food,Walmart,,,8.0,,,,,,,,,,,,,
597,Blue Wilderness,Blue Wilderness High Protein Adult Dog Food,Blue Wilderness High Protein,"High-protein content, inspired by wolves' diets, with real meat as the first ingredient.",Dog Food,Walmart,,,9.0,,,,,,,,,,,,,
598,Freshpet,Freshpet Vital Dog Food,Freshpet Vital,"High-quality, fresh ingredients with specialized recipes for specific health needs.",Dog Food,Walmart,,7.0,,,,,,,,,,,,,,
599,Iams,Iams ProActive Health Adult MiniChunks Small Kibble High Protein Dry Dog Food with Real Chicken,Iams ProActive Health Dry Dog Food,Iams ProActive Health provides a tailored nutrition approach with real chicken to support a strong immune system.,Dog Food,Walmart,4.0,,,,,,,,,,,,,,,
600,Royal Canin,Royal Canin Small Adult Formula Dog Food,Royal Canin Small Dog Food,Royal Canin Small Adult Formula supports a healthy weight and digestive health for small breed dogs.,Dog Food,Walmart,6.0,,,,,,,,,,,,,,,
601,Rachael Ray Nutrish,Rachael Ray Nutrish Real Chicken & Veggies Recipe Dry Dog Food,Rachael Ray Nutrish Dry Dog Food,"Rachael Ray Nutrish is made with simple, natural ingredients like real U.S. farm-raised chicken.",Dog Food,Walmart,7.0,7.0,,6.0,,,,,,,,7.0,,,,
602,Cesar,Cesar Classic Loaf in Sauce Filet Mignon Flavor Gourmet Wet Dog Food,Cesar Classic Wet Dog Food,Cesar Classic offers gourmet wet dog food with decadent flavors and textures your dog will love.,Dog Food,Walmart,8.0,,,,,,,,,,,,,,,
603,Nutrish,"Nutrish Zero Grain Natural Dry Dog Food, Salmon & Sweet Potato Recipe",Nutrish Zero Grain Dry Dog Food,Nutrish Zero Grain is a grain-free dog food made with real salmon and whole ingredients for optimal nutrition.,Dog Food,Walmart,9.0,,,,,,,,,,,,,,,
604,Purina,Purina Pro Plan High Protein Dog Food With Probiotics,Purina Pro Plan,A high protein dog food with probiotics for digestive health.,Dog Food,Walmart,,,,,,,,,,,1.0,,,,,
605,Cesar,Cesar Small Breed Dry Dog Food Filet Mignon Flavor with Spring Vegetables Garnish,Cesar Small Breed,Dry dog food for small breeds with filet mignon flavor.,Dog Food,Walmart,9.0,8.0,,7.0,,,8.0,,,,9.0,8.0,,,,
606,Hill's Science,Hill's Science Diet Dog Food,Hill's Science Diet,Vet-recommended food with easy-to-digest ingredients and various health formulas.,Dog Food,Walmart,,,1.0,,,,,,,,,,,,,
607,Rachael Ray,Rachael Ray Nutrish Zero Grain Dog Food,Rachael Ray Nutrish Zero Grain,Grain-free recipes with turkey or salmon as the primary protein source.,Dog Food,Walmart,,,6.0,,,,,,,,,,,,,
608,Purina,Purina Dog Chow Complete Adult Dry Dog Food,Dog Chow,Complete and balanced nutrition for adult dogs of all breeds.,Dog Food,Walmart,,,,,,,,,1.0,1.0,,4.0,,,,
609,Rachael Ray,Rachael Ray Nutrish Zero Grain Natural Dry Dog Food,Nutrish Zero Grain,Grain-free dry dog food with real meat as the first ingredient.,Dog Food,Walmart,,,,,,,,,,,,7.0,,,,
610,Wellness,Wellness Complete Health Adult Deboned Chicken & Oatmeal Recipe,Wellness Complete Health,Wellness Complete Health Adult dry dog food is formulated with deboned chicken and oatmeal.,Dog Food,Metro,5.0,,,,,9.0,10.0,,,,5.0,,,,,
611,Bare Pets,Bare Pets Seriously Fresh Bundle Dog Food,Bare Pets Premium,"A vet-approved brand with real fresh chicken as its first ingredient, offering a balanced diet with multiple fruits and vegetables.",Dog Food,Metro,,,1.0,,,,,,,,,,,,,
612,Nature's Variety,Nature's Variety Instinct Original Grain-Free Dog Food,Instinct Original,"Grain-free, high-protein formula with real deboned meat as its first ingredient.",Dog Food,Metro,,,2.0,,,,,,,,,,,,,
613,Taste of the Wild,Taste of the Wild Grain-Free Dog Food,Taste of the Wild,Uses real fish or fowl meat combined with unique protein sources.,Dog Food,Metro,,,8.0,,,,,,5.0,5.0,,,,,,
614,Merrick,Merrick Classic Grain-Free Chicken & Sweet Potato Recipe,Merrick Grain-Free,"Features deboned chicken and sweet potatoes for a balanced, grain-free diet.",Dog Food,Metro,,3.0,4.0,,,,,,,,,,,,,
615,Blue Buffalo,Blue Buffalo Wilderness Rocky Mountain Recipe Dog Food,Blue Buffalo Wilderness,"Uses naturally deboned beef, lamb, and venison with whole grains.",Dog Food,Metro,,4.0,5.0,,,,,,,,,,,,,
616,Acana,Acana Meadowland Grain-Free Dog Food,Acana Meadowland,Made with fresh regional ingredients and no grains or potatoes.,Dog Food,Metro,,3.0,6.0,,,,,,,,,,,,,
617,Orijen,Orijen Original Grain-Free Dog Food,Orijen Original,"Rich in animal ingredients, featuring chicken, turkey, and fish.",Dog Food,Metro,7.0,6.0,7.0,,,,7.0,,,,,,,,,
618,Zignature,Zignature Trout & Salmon Meal Formula Dog Food,Zignature Trout & Salmon,Offers limited-ingredient recipes with probiotics for digestion.,Dog Food,Metro,,,8.0,,,,,,,,,,,,,
619,Fromm,Fromm Gold Holistic Adult Dog Food,Fromm Gold Holistic,Features high-quality proteins and whole grain goodness with added probiotics.,Dog Food,Metro,,8.0,9.0,,,,,,,,,,,,,
620,Purina Pro Plan,Purina Pro Plan All Life Stages Dog Food,Purina Pro Plan,A well-established brand offering balanced nutrition for all life stages.,Dog Food,Metro,,,10.0,,,,,,,,,,,,,
621,Bare Pets,Bare Pets Premium Dog Food,Bare Pets,"A vet-approved, AAFCO-certified dog food with real fresh chicken and a variety of fruits and vegetables.",Dog Food,Metro,,1.0,,,,,,,,,,,,,,
622,Purina Pro Plan,Purina Pro Plan Sensitive Skin & Stomach Dog Food,Purina Pro Plan Sensitive,"Formulated for dogs with sensitive skin and stomachs, offering easily digestible ingredients.",Dog Food,Metro,,4.0,,,,,,,,,,,,,,
623,Go Solutions,Go Solutions Carnivore Grain-Free Dog Food,Go Solutions Carnivore,"High-protein, grain-free formula with novel protein sources.",Dog Food,Metro,,5.0,,,,,,,,,,,,,,
624,Eukanuba,Eukanuba Adult Dog Food,Eukanuba Adult,Provides balanced nutrition for adult dogs with high-quality protein sources.,Dog Food,Metro,,6.0,,,,,,,,,,,5.0,5.0,,
625,Aozi,Aozi Premium Dog Food,Aozi Premium,Offers a range of premium dog food options with natural ingredients.,Dog Food,Metro,,7.0,,,,,,,,,,,,,,
626,Holistic,Holistic Select Adult Dog Food,Holistic Select Adult,Focuses on holistic nutrition with natural ingredients and no artificial preservatives.,Dog Food,Metro,,8.0,,,,,,,,,,,,,,
627,Nature's Variety Instinct,Nature's Variety Instinct Original Grain-Free Dog Food,Instinct Original,Grain-free with high omega-3 fatty acid levels for healthy joints and skin.,Dog Food,Metro,,9.0,,,,,,,,,,,,,,
628,Taste of the Wild,Taste of the Wild High Prairie Grain-Free Dog Food,Taste of the Wild High Prairie,Features real roasted meats and contains unique protein sources like venison and wild boar.,Dog Food,Metro,,10.0,,,,,,,,,,,10.0,10.0,,
629,Purina ONE,Purina ONE High Protein Adult Dry Dog Food Chicken & Rice,Purina ONE Chicken & Rice,High-protein dry dog food made with real chicken as the first ingredient,Dog Food,Metro,,,,1.0,,,,,,,,1.0,,,,
630,Purina Beneful,Purina Beneful Originals Natural Dry Dog Food With Farm-Raised Beef,Beneful Originals Beef,Natural dry dog food made with real farm-raised beef as the first ingredient,Dog Food,Metro,,4.0,,4.0,,,,,,,,4.0,,,,
631,Iams,Iams Proactive Health Minichunks Adult Small Kibble Dry Dog Food Real Chicken Flavor,Iams Proactive Health Chicken,Small kibble dry dog food with real chicken for adult dogs,Dog Food,Metro,,6.0,,5.0,,,,,,,,6.0,,,,
632,Purina ONE,Purina ONE True Instinct Adult Dry Dog Food Turkey & Venison,ONE True Instinct Turkey & Venison,High-protein dry dog food made with real turkey and venison,Dog Food,Metro,,,,,,,,,,,,9.0,,,,
633,Purina Beneful,Purina Beneful Healthy Weight Natural Dry Dog Food with Farm-Raised Chicken,Beneful Healthy Weight Chicken,Weight management dry dog food made with real farm-raised chicken,Dog Food,Metro,,,,,,,,,,,,10.0,,,,
634,Canidae,Canidae PURE Limited Ingredient Grain-Free Premium Dry Dog Food,Canidae PURE,"A limited ingredient formula made with real food ingredients, for all dogs, especially those with sensitivities.",Dog Food,Metro,10.0,,,,,,,,,,,,,,,
635,Nutro,"Nutro Wholesome Essentials Adult Farm-Raised Chicken, Brown Rice & Sweet Potato Recipe",Nutro Wholesome Essentials,A wholesome recipe with farm-raised chicken and sweet potatoes.,Dog Food,Metro,,,,,,5.0,,,,,6.0,,8.0,8.0,,
636,Acana,Acana Singles + Wholesome Grains Limited Ingredient Diet Lamb & Pumpkin Recipe,Acana Singles + Wholesome Grains,A limited ingredient diet with lamb and pumpkin.,Dog Food,Metro,,,,,,,10.0,,,,10.0,,,,,
637,Purina,Purina ONE High Protein Adult Dry Dog Food Chicken & Rice,Purina ONE Chicken & Rice,A high-protein dog food suitable for adult dogs.,Dog Food,Metro,,1.0,1.0,,,,,,,,,,,,,
638,Pedigree,Pedigree Complete Nutrition Adult Dry Dog Food Grilled Steak and Vegetable Flavor,Pedigree Grilled Steak,A complete nutrition dog food with a grilled steak flavor.,Dog Food,Metro,,,3.0,,,,,,,,,,,,,
639,JustFoodForDogs,JustFoodForDogs Fresh Frozen Dog Food,JustFoodForDogs Fresh Frozen,"A fresh, gently cooked dog food with customizable recipes.",Dog Food,Metro,,,4.0,,,,,,,,,,,,,
640,Nom Nom,Nom Nom Fresh Dog Food,Nom Nom Fresh,Preportioned fresh dog meals with multiple recipes available.,Dog Food,Metro,,,5.0,,,,,,,,,,,,,
641,The Farmer's Dog,The Farmer's Dog Customized Fresh Dog Food,The Farmer's Dog Customized,Customized fresh dog food tailored to each dog's needs.,Dog Food,Metro,,,6.0,,,,,,,,,,,,,
642,Orijen,Orijen Adult Dog Food,Orijen Adult,A premium dry dog food with high-quality protein sources.,Dog Food,Metro,,,7.0,,,,,,1.0,1.0,,,,,,
643,Acana,Acana Regionals Adult Dog Food,Acana Regionals,A regionally sourced dry dog food emphasizing local ingredients.,Dog Food,Metro,,,8.0,,,,,,,,,,,,,
644,Merrick,Merrick Classic Adult Dry Dog Food,Merrick Classic,A high-quality dry dog food with real meat as the first ingredient.,Dog Food,Metro,,,10.0,,,,,,,,,,,,,
645,Purina ONE True Instinct,Purina ONE True Instinct Adult Dry Dog Food Turkey & Venison,Purina True Instinct Turkey & Venison,An adult dog food with turkey and venison.,Dog Food,Metro,,9.0,,,,,,,,,,,,,,
646,Purina Beneful Healthy Weight,Purina Beneful Healthy Weight Natural Dry Dog Food with Farm-Raised Chicken,Purina Beneful Healthy Weight Chicken,A healthy weight dog food with farm-raised chicken.,Dog Food,Metro,,10.0,,,,,,,,,,,,,,
647,Royal Canin,Royal Canin Gastrointestinal Low-Fat Adult Dry Dog Food,Royal Canin Gastrointestinal,Low-fat dry dog food for adults with gastrointestinal sensitivities,Dog Food,Metro,,,,,,,,,,,,10.0,,,,
648,Wellness Core,"Wellness Core Natural Grain Free Dry Dog Food, Original Turkey & Chicken",Wellness Core Original,"A protein-rich, grain-free formula featuring turkey and chicken for optimal health.",Dog Food,Metro,6.0,,,,,,,,,,,,,,,
649,Acana,Acana Heritage Meats Formula Grain-Free Dry Dog Food,Acana Heritage Meats,Grain-free recipe featuring a variety of fresh regional ingredients for optimal nutrition.,Dog Food,Metro,10.0,,,,,,,,,,,,,,,
650,Bare,Bare Dog Food Subscription,Bare Pet Food,"A vet-approved, AAFCO-certified dog food with real fresh chicken and beef.",Dog Food,Metro,,,1.0,,,,,,,,,,,,,
651,Nature's Variety,Nature's Variety Instinct Original,Instinct Original,Grain-free dry food with real deboned meat and high omega-3 levels.,Dog Food,Metro,,1.0,2.0,,,,,,,,,,,,,
652,Taste of the Wild,Taste of the Wild Dog Food,Taste of the Wild,Features real fish or fowl meat combined with other unique protein sources.,Dog Food,Metro,,,3.0,,,,,,,,,,,,,
653,Acana,Acana Meadowland,Acana Meadowland,Uses fresh regional ingredients without grains or gluten.,Dog Food,Metro,,5.0,6.0,,,,,,,,,,,,,
654,Zignature,Zignature Trout & Salmon Meal Formula,Zignature Trout & Salmon,Limited-ingredient recipes with probiotics for digestive health.,Dog Food,Metro,,7.0,8.0,,,,,,,,,,,,,
655,Healthy Dogma,Healthy Dogma PetMix Original Homemade Dog Food,Healthy Dogma PetMix,"Grain-free, preservative-free mix with healthy ingredients like eggs and apples.",Dog Food,Metro,,10.0,10.0,,,,,,,,,,,,,
656,Taste of the Wild,Taste of the Wild High Prairie,High Prairie,Uses real fish or fowl meat combined with other high-protein sources like venison and wild boar.,Dog Food,Metro,,2.0,,,,,,,,,,,,,,
657,Primal,Primal Turkey Formula Freeze-Dried Raw Nuggets Dog Food,Turkey Formula Freeze-Dried,Convenient freeze-dried raw nuggets available in various protein sources.,Dog Food,Metro,,9.0,,,,,,,,,,,,,,
658,Purina Beneful,Purina Beneful Originals Natural Dry Dog Food With Natural Salmon,Purina Beneful Salmon,Natural dry dog food made with salmon,Dog Food,Metro,,,,,,,,,,,,10.0,,,,
659,Kirkland Signature,Kirkland Signature Super Premium Maintenance Cat Chicken & Rice Formula,Kirkland Signature Cat Food,A super premium cat food with chicken and rice formula for maintenance.,Cat Food,Costco,1.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,
660,Purina Pro Plan,Purina Pro Plan Savor Adult Cat Food,Purina Pro Plan Cat Food,Adult cat food with a delicious taste and advanced nutrition.,Cat Food,Costco,3.0,,,,,3.0,3.0,,3.0,3.0,3.0,,,,,
661,Fancy Feast,Fancy Feast Gravy Lovers Poultry & Beef Feast Variety Pack,Fancy Feast Variety Pack,A variety pack of poultry and beef flavors in a rich gravy.,Cat Food,Costco,5.0,,,2.0,,,8.0,,,,7.0,,,,,
662,Sheba,Sheba Perfect Portions Paté in Natural Juices,Sheba Perfect Portions,Paté cat food in convenient single servings.,Cat Food,Costco,4.0,,,,,,,,,,,,,,,
663,Friskies,Friskies Wet Cat Food Variety Pack,Friskies Variety Pack,A variety pack of tasty wet cat food options.,Cat Food,Costco,2.0,,,3.0,,9.0,9.0,,,,10.0,6.0,,,,
664,Blue Buffalo,Blue Buffalo Wilderness High Protein Grain Free,Blue Buffalo Wilderness,"High protein, grain-free cat food inspired by the wild.",Cat Food,Costco,5.0,,,,,5.0,3.0,,,,4.0,,,,,
665,Wellness,Wellness Complete Health Natural Grain Free Dry Cat Food,Wellness Grain Free Cat Food,Natural grain-free dry cat food for complete health.,Cat Food,Costco,7.0,,,6.0,,,,,,,,,,,,
666,Iams,Iams ProActive Health Adult Indoor Weight & Hairball Care,Iams Indoor Cat Food,Adult cat food for indoor cats with weight and hairball care.,Cat Food,Costco,7.0,,,,,6.0,5.0,,,,5.0,,,,,
667,Hill's Science Diet,Hill's Science Diet Adult Indoor Cat Food,Hill's Science Diet Cat Food,Indoor cat food from Hill's Science Diet for adult cats.,Cat Food,Costco,2.0,2.0,2.0,6.0,,2.0,2.0,,1.0,1.0,3.0,8.0,3.0,3.0,,
668,Royal Canin,Royal Canin Feline Health Nutrition Indoor Adult Dry Cat Food,Royal Canin Indoor Cat Food,Dry cat food for indoor cats promoting healthy digestion and weight.,Cat Food,Costco,3.0,,,7.0,,2.0,3.0,,,,2.0,,5.0,5.0,,
669,Purina Pro Plan,Purina Pro Plan Savor Adult Cat Food with Chicken & Rice,Purina Pro Plan Savor,Adult cat food with chicken and rice to support digestive health.,Cat Food,Costco,,,,,,,,,,,2.0,,,,,
670,Blue Buffalo,"Blue Buffalo Wilderness High Protein Grain Free, Natural Adult Dry Cat Food",Blue Buffalo Wilderness,"High protein, grain-free dry cat food for adult cats.",Cat Food,Costco,4.0,,,4.0,,4.0,4.0,,,,4.0,,2.0,2.0,,
671,Iams,Iams ProActive Health Adult Indoor Weight & Hairball Care Dry Cat Food,Iams ProActive Health,Dry cat food for indoor cats to help with weight and hairball control.,Cat Food,Costco,5.0,,,8.0,,7.0,5.0,,,,5.0,5.0,5.0,5.0,,
672,Friskies,"Friskies Wet Cat Food Variety Pack, Seafood & Chicken Favorites",Friskies Variety Pack,A variety pack of wet cat food with seafood and chicken flavors.,Cat Food,Costco,,,,,,,8.0,,,,8.0,,,,,
673,Wellness,Wellness CORE Grain-Free Original Formula Dry Cat Food,Wellness CORE Grain-Free,Grain-free dry cat food with high protein content.,Cat Food,Costco,6.0,,,,,4.0,6.0,,,,6.0,,,,,
674,Nutro,Nutro Wholesome Essentials Indoor Adult Dry Cat Food,Nutro Wholesome Essentials,Dry cat food for indoor adult cats with wholesome ingredients.,Cat Food,Costco,6.0,,,,,10.0,7.0,,,,7.0,,,,,
675,Kirkland Signature,Kirkland Signature Chicken & Rice Cat Food,Chicken & Rice Cat Food,"A budget-friendly, high-quality dry cat food providing balanced nutrition with chicken and rice.",Cat Food,Costco,,9.0,1.0,,,,,,,,,,,,,
676,Kirkland Signature,Kirkland Signature Nature’s Domain Cat Food,Nature’s Domain Cat Food,"A grain-free cat food featuring salmon as the primary protein source, suitable for all life stages.",Cat Food,Costco,1.0,2.0,2.0,,,,,,,,,,,,,
677,Kirkland Signature,Kirkland Signature Pâté Cat Food Variety Pack,Pâté Cat Food Variety Pack,"A variety pack of wet cat food in pâté form, featuring chicken, turkey, and salmon.",Cat Food,Costco,,5.0,4.0,4.0,,,,,,,,,,,,
678,Kirkland Signature,Kirkland Signature Chunks in Gravy Canned Cat Food,Chunks in Gravy Cat Food,"A canned cat food with chunks in gravy, available in chicken and salmon flavors.",Cat Food,Costco,,4.0,5.0,,,,,,,,,6.0,,,,
679,Wellness,Wellness Good Kitty Wet Cat Food,Good Kitty Wet Cat Food,"A highly digestible wet cat food suitable for kittens, featuring chicken and cod options.",Cat Food,Costco,,6.0,6.0,8.0,,,,,,,,7.0,,,,
680,Purina,Purina Kit & Kaboodle Dry Cat Food,Kit & Kaboodle Cat Food,"A variety of dry cat food flavors, including chicken, liver, turkey, and ocean fish.",Cat Food,Costco,,7.0,7.0,5.0,,,,,,,,,,,,
681,Purina,Purina Deli Cat Cat Food,Deli Cat Food,A premium dry cat food offering a mix of flavors for discerning cats.,Cat Food,Costco,,8.0,8.0,6.0,,,,,,,,,,,,
682,Friskies,Friskies Wet Pate Cat Food,Wet Pate Cat Food,A variety pack of wet cat food featuring different flavors like liver & chicken and ocean whitefish.,Cat Food,Costco,,9.0,9.0,,,,,,,,,,,,,
683,Kirkland Signature,Kirkland Signature Absorbent Pads,Absorbent Pads,"Although not a food, these pads are useful for cat care, providing absorbency for accidents.",Cat Food,Costco,,,10.0,,,,,,,,,,,,,
684,Kirkland Signature,Kirkland Signature Maintenance Cat Chicken & Rice Formula,Maintenance Chicken & Rice,"A dry cat food with chicken as the main ingredient, suitable for maintaining overall health.",Cat Food,Costco,,7.0,1.0,1.0,,,1.0,,,,,,,,,
685,Kirkland Signature,Kirkland Signature Healthy Weight Indoor Adult Cat Formula,Kirkland Signature Healthy Weight,"A low-fat, high-fiber dry cat food designed for weight management in indoor cats",Cat Food,Costco,,9.0,3.0,3.0,,,,,,,,,,,,
686,Fancy Feast,Fancy Feast Gourmet Naturals Wet Cat Food Variety Pack,Fancy Feast Gourmet Naturals,A variety pack of wet cat food featuring natural ingredients,Cat Food,Costco,6.0,,,7.0,,5.0,8.0,,,,8.0,,,,,
687,Royal Canin,Royal Canin Feline Health Nutrition Adult Instinctive Thin Slices in Gravy,Royal Canin Adult Instinctive,A wet cat food formulated for adult cats with thin slices in gravy,Cat Food,Costco,,,,8.0,,,,,,,,,,,,
688,Purina Pro Plan,Purina Pro Plan Focus Adult Urinary Tract Health Formula Dry Cat Food,Purina Pro Plan Urinary Tract Health,A specialized dry cat food formulated to support urinary tract health in adult cats,Cat Food,Costco,,,,10.0,,,,,,,,,,,,
689,IAMS,IAMS Proactive Health Adult Indoor Weight Control Cat Food,Proactive Health,Promotes healthy weight and digestion for indoor cats.,Cat Food,Costco,4.0,,,,,,,,,,,,,,,
